Masculine French Given Names
5-5 David
6-6 Abel
7-7 Isaac
8-8 Gilbert
9-9 Jules
10-10 Rémi
11-11 Émile
12-12 Damien
13-13 Fabien
14-14 Justin
15-15 Lucien
16-16 Armand
17-17 Sylvain
18-18 Théodore
19-19 Honoré
20-20 Édouard
21-21 Arnaud
22-22 Raoul
23-23 Jérôme
24-24 Augustin
25-25 Olivier
26-26 Léonard
27-27 Hubert
28-28 Gilles
29-29 Barthélemy
30-30 Lazare
31-31 Urbain
32-32 Baptiste
33-33 Toussaint
34-34 Alexis
35-35 Yves
36-36 Gabriel
37-37 Blaise
38-38 Julien
39-39 Christophe
40-40 Vincent
41-41 Bertrand
42-42 Mathieu
43-43 Henri
44-44 Thomas
45-45 Étienne
46-46 Claude
47-47 Michel
48-48 Charles
49-49 Antoine
50-50 Jacques
51-51 François
52-52 Jean
53-53 Pierre
54-54 Louis
55-55 Nicolas
56-56 Guillaume
57-57 Joseph
58-58 André
59-59 Philippe
60-60 Martin
61-61 René
62-62 Denis
63-63 Simon
64-64 Sébastien
65-65 Laurent
66-66 Dominique
67-67 Georges
68-68 Robert
69-69 Benoît
70-70 Paul
71-71 Alexandre
72-72 Germain
73-73 Noël
74-74 Hilaire
75-75 Marc
76-76 Luc
77-77 Matthias
78-78 Pascal
79-79 Valentin
80-80 Bernard
81-81 Romain
82-82 Maurice
83-83 Roland
84-84 Gaston
85-85 Albert
86-86 Clément
87-87 Anselme
88-88 Prosper
89-89 Constant
90-90 Firmin
91-91 Maxime
92-92 Victor
93-93 Adrien
94-94 Cyprien
95-95 Ambroise
96-96 Léon
97-97 Joachim
98-98 Samuel
99-99 Adam
100-100 Émilien
